id,age,dist,income,gender,marital_status,target
1,73,4.371654351,"90-99,999",M,S,1
2,89,1.582732866,"100-149,999",M,,1
3,85,1.223809513,"10-19,999",F,S,1
4,76,2.962427311,"90-99,999",M,M,1
5,76,2.594408353,"10-19,999",M,S,1
6,71,3.877504298,"50-59,999",F,S,1
7,85,13.57021804,"20-29,999",F,,1
8,78,18.42284209,"10-19,999",M,M,1
9,72,6.334591156,"150 - 174,999",F,M,0
10,80,11.70306447,"100-149,999",M,M,0
11,90,14.55352962,"60-69,999",F,M,0
12,89,4.070402753,"70-79,999",M,S,0
13,74,2.093181785,"200 - 249,999",F,M,0
14,70,6.047327571,"175 - 199,999",F,M,0
15,94,4.513539961,"30-39,999",F,S,0
16,77,3.769485657,"60-69,999",M,M,0
17,73,8.195132379,"30-39,999",F,M,0
18,84,5.818416054,"90-99,999",F,M,0
19,80,25.03044939,"10-19,999",F,S,0
20,91,3.590254172,,F,,0
21,71,3.714008018,"20-29,999",F,S,0
22,92,9.811104435,"90-99,999",F,M,0
23,74,7.126620088,"50-59,999",F,M,0
24,79,6.275702417,"70-79,999",M,M,1
25,78,11.75174279,"70-79,999",M,M,1
26,76,2.891130466,"100-149,999",M,M,1
27,84,4.194587296,"40-49,999",M,M,1
28,73,23.23391785,Under $10k,F,M,1
29,78,2.545600761,"40-49,999",F,S,1
30,80,1.263277809,"90-99,999",M,M,1
31,66,15.6368998,"40-49,999",F,M,1
32,92,7.203494553,"10-19,999",M,M,0
33,81,4.584713747,"90-99,999",F,M,0
34,68,1.019480788,"90-99,999",M,M,0
35,87,7.26302468,"20-29,999",F,S,0
36,71,24.13295747,"10-19,999",M,M,0
37,71,5.612715485,"40-49,999",F,M,0
38,72,14.58575796,"60-69,999",F,S,0
39,69,7.475883673,"100-149,999",M,M,0
40,73,27.92230399,"90-99,999",F,S,0
41,65,3.481452871,"200 - 249,999",F,M,0
42,66,9.315965178,"10-19,999",M,S,0
43,66,0.887439411,"10-19,999",M,M,0
44,68,7.398745477,"10-19,999",F,S,0
45,75,13.38008898,"70-79,999",F,M,0
46,86,29.55297269,,M,,0
47,78,23.12466581,"150 - 174,999",M,M,0
